                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8039,                 5.6448,                 2.1944,                0.00766,                0.34896,                0.02435,                0.01025,                 2.7845,                 5.0221,                 2.1563,                 0.0946,                 0.0006,                 0.0006
                      1,                 2.8405,                 5.5305,                 2.2028,                0.01223,                  0.175,                0.03477,                  0.017,                 2.3974,                  5.169,                 1.7333,               0.088249,              0.0012485,              0.0012485
                      2,                 2.3972,                 5.2805,                 1.9098,                 0.0083,                0.30677,                0.01623,                0.00731,                 2.0057,                 4.8835,                 1.6053,               0.081842,              0.0018416,              0.0018416
                      3,                 2.1533,                 5.0523,                 1.7505,                0.01931,                0.32188,                0.06152,                0.02695,                 1.9263,                 4.8036,                  1.632,               0.075379,              0.0023792,              0.0023792
                      4,                 2.0138,                 4.6936,                 1.6046,                0.01439,                0.35313,                0.06082,                0.03578,                 1.8861,                 4.7472,                 1.6255,               0.068861,              0.0028614,              0.0028614
                      5,                 1.8947,                 4.2949,                  1.524,                0.01643,                0.60469,                0.07838,                0.05177,                 1.9234,                 5.2131,                 1.6288,               0.062288,              0.0032882,              0.0032882
                      6,                 1.9143,                 3.8319,                 1.5046,                 0.3727,                0.35289,                0.12177,                0.07268,                 1.8375,                 5.4239,                 1.5613,                0.05566,              0.0036595,              0.0036595
                      7,                 1.8317,                 3.5657,                 1.4688,                0.47708,                0.31094,                0.17461,                0.11003,                  1.771,                 4.6037,                 1.5604,               0.048975,              0.0039754,              0.0039754
                      8,                 1.8289,                 3.1973,                  1.513,                0.45258,                0.42304,                0.23141,                0.14861,                 1.6766,                 3.8568,                  1.493,               0.042236,              0.0042358,              0.0042358
                      9,                 1.7779,                 3.0042,                 1.4773,                0.28981,                0.29196,                0.18972,                  0.124,                 1.6012,                 3.4816,                   1.43,               0.035441,              0.0044408,              0.0044408
                     10,                 1.7157,                 2.7581,                 1.4542,                0.45362,                 0.2204,                0.23643,                0.16206,                 1.5379,                  3.234,                 1.4421,                0.02859,              0.0045904,              0.0045904
                     11,                 1.7148,                 2.6981,                 1.5086,                0.34694,                0.39272,                0.36715,                0.24317,                 1.5552,                 2.6732,                 1.4083,               0.021685,              0.0046845,              0.0046845
                     12,                 1.7195,                  2.548,                 1.4416,                0.35272,                0.46039,                0.41136,                0.27759,                  1.533,                 2.7943,                 1.4122,               0.014723,              0.0047232,              0.0047232
                     13,                 1.6814,                 2.4157,                 1.4733,                0.40266,                0.45513,                0.43051,                0.28849,                 1.6047,                 2.7875,                 1.4655,              0.0077064,              0.0047064,              0.0047064
                     14,                 1.7205,                 2.2897,                 1.4539,                0.35412,                0.55506,                0.39163,                0.27174,                 1.5812,                 2.6215,                 1.5001,               0.004456,               0.004456,               0.004456
                     15,                 1.6477,                 2.2379,                  1.503,                0.58596,                0.45904,                0.51252,                0.35141,                 1.3927,                 2.4714,                 1.3298,               0.004456,               0.004456,               0.004456
                     16,                  1.572,                 2.0387,                 1.4599,                0.44126,                0.46142,                0.51712,                0.35324,                 1.3787,                 2.5064,                 1.3446,                0.00406,                0.00406,                0.00406
                     17,                  1.595,                 1.9089,                 1.4438,                0.41657,                0.43202,                0.49699,                0.32019,                 1.4828,                 2.3969,                 1.3639,               0.003664,               0.003664,               0.003664
                     18,                 1.5445,                 1.9066,                 1.4099,                0.42007,                0.51305,                0.51094,                0.34311,                 1.4051,                 2.2517,                 1.3284,               0.003268,               0.003268,               0.003268
                     19,                 1.4697,                 1.7509,                 1.3966,                0.59142,                0.45322,                0.54636,                0.38143,                 1.3289,                 2.2375,                 1.3181,               0.002872,               0.002872,               0.002872
                     20,                 1.4831,                 1.7068,                 1.3655,                0.55843,                0.50456,                0.56914,                0.39713,                 1.3323,                 2.1936,                 1.3149,               0.002476,               0.002476,               0.002476
                     21,                 1.4996,                 1.6485,                 1.4188,                0.62827,                0.46786,                0.59688,                0.42505,                  1.363,                 2.1565,                 1.3381,                0.00208,                0.00208,                0.00208
                     22,                 1.4797,                 1.6438,                 1.4243,                0.47725,                0.56607,                0.60771,                0.42318,                 1.3505,                 2.0632,                 1.3305,               0.001684,               0.001684,               0.001684
                     23,                 1.4341,                 1.5431,                   1.41,                0.46205,                0.60475,                0.62358,                0.42772,                 1.3546,                 1.9994,                 1.3308,               0.001288,               0.001288,               0.001288
                     24,                 1.4416,                 1.4612,                 1.4009,                0.50801,                0.60532,                0.63436,                0.43333,                 1.3549,                 1.9799,                 1.3337,               0.000892,               0.000892,               0.000892
