                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8039,                 5.6448,                 2.1944,                0.00766,                0.34896,                0.02435,                0.01025,                 2.7845,                 5.0221,                 2.1563,                 0.0946,                 0.0006,                 0.0006
                      1,                 2.8265,                 5.5437,                 2.1941,                0.00948,                0.23906,                0.03913,                0.01587,                  2.456,                 5.2443,                 1.7996,               0.088287,              0.0012871,              0.0012871
                      2,                 2.4057,                 5.2691,                 1.9174,                0.01053,                0.36771,                0.05157,                0.02598,                 2.3598,                 4.9042,                 1.8935,                0.08196,              0.0019604,              0.0019604
                      3,                 2.0982,                 4.9024,                 1.6919,                0.01384,                0.40052,                0.03378,                0.01849,                 1.9957,                 4.7033,                 1.6233,                0.07562,              0.0026198,              0.0026198
                      4,                 1.9707,                 4.5623,                 1.5835,                0.81748,                    0.1,                0.11065,                0.04971,                 1.9652,                 5.0146,                 1.6168,               0.069265,              0.0032654,              0.0032654
                      5,                 1.8545,                 4.0978,                 1.5021,                0.01818,                0.61875,                0.06498,                0.03446,                 1.8606,                 5.4101,                 1.6467,               0.062897,               0.003897,               0.003897
                      6,                 1.8578,                 3.6073,                 1.4787,                0.41844,                0.30832,                 0.1532,                0.09416,                 1.9283,                 5.5425,                 1.7007,               0.056515,              0.0045149,              0.0045149
                      7,                 1.8437,                 3.2907,                 1.4976,                0.39973,                0.34934,                0.15899,                 0.0932,                 1.8634,                   4.54,                 1.6676,               0.050119,              0.0051188,              0.0051188
                      8,                 1.8059,                 2.9938,                  1.516,                0.46071,                0.33071,                0.22792,                0.15522,                 1.6686,                    3.8,                 1.5191,               0.043709,               0.005709,               0.005709
                      9,                 1.7669,                 2.7585,                 1.4798,                0.41794,                0.30514,                0.26695,                0.18126,                 1.5764,                 3.0454,                 1.4586,               0.037285,              0.0062852,              0.0062852
                     10,                 1.7105,                 2.5648,                 1.4556,                0.50355,                0.26782,                0.24547,                0.14678,                 1.7191,                 3.3827,                  1.517,               0.030848,              0.0068476,              0.0068476
                     11,                 1.7216,                 2.4712,                 1.4947,                0.30379,                0.31194,                0.20856,                 0.1062,                 2.2063,                 3.5862,                 1.8756,               0.024396,              0.0073961,              0.0073961
                     12,                 1.7396,                 2.4169,                 1.4535,                 0.3542,                0.30575,                0.30652,                0.13489,                 2.1771,                 3.4082,                 1.9299,               0.017931,              0.0079308,              0.0079308
                     13,                 1.7084,                 2.2856,                  1.473,                0.50431,                0.39231,                0.37677,                0.22224,                 1.8493,                 3.2245,                 1.6994,               0.011452,              0.0084516,              0.0084516
                     14,                 1.7548,                 2.2472,                 1.4557,                0.32603,                0.49938,                 0.4469,                0.26437,                 1.6708,                 2.9419,                 1.5702,               0.008614,               0.008614,               0.008614
                     15,                 1.7274,                  2.171,                 1.4836,                0.55741,                0.36131,                0.45044,                0.28756,                 1.5667,                 2.4344,                 1.5142,               0.008614,               0.008614,               0.008614
                     16,                 1.6249,                 1.9253,                 1.4192,                0.52754,                0.53632,                0.55011,                0.36215,                 1.5521,                 2.2411,                 1.4659,               0.008515,               0.008515,               0.008515
                     17,                 1.6742,                 1.9797,                 1.4832,                0.64312,                0.39396,                0.59232,                0.36475,                 1.5315,                 2.2298,                 1.4532,               0.008416,               0.008416,               0.008416
                     18,                 1.6176,                 2.0152,                 1.4034,                0.33772,                0.59882,                0.57669,                0.36392,                 1.4671,                 2.4091,                 1.3997,               0.008317,               0.008317,               0.008317
                     19,                 1.5639,                 1.8849,                 1.3745,                0.38037,                 0.6257,                0.61345,                0.38122,                  1.508,                 2.3107,                 1.4018,               0.008218,               0.008218,               0.008218
                     20,                 1.5721,                 1.7609,                 1.3755,                0.40105,                0.56678,                0.61202,                0.38401,                 1.5217,                  2.214,                 1.4079,               0.008119,               0.008119,               0.008119
                     21,                  1.607,                 1.7102,                 1.3861,                 0.4171,                0.57699,                0.60367,                0.35204,                 1.5972,                   2.19,                 1.4396,                0.00802,                0.00802,                0.00802
                     22,                 1.5683,                 1.6679,                 1.3281,                0.44758,                0.58475,                0.55542,                0.36143,                 1.4897,                 2.2514,                 1.3886,               0.007921,               0.007921,               0.007921
                     23,                 1.5846,                 1.6505,                 1.3808,                 0.4371,                0.58926,                0.57413,                0.37258,                 1.4822,                  2.139,                 1.3796,               0.007822,               0.007822,               0.007822
